name,a,elements,crystal_system,point_group,formula,plane,num_elements
Ta2C (0001),3.1148899159000267,"C, Ta",Trigonal,-3m,Ta2C,(0001),2
Ta2CS2 (0001),3.28676451849355,"C, S, Ta",Trigonal,-3m,Ta2CS2,(0001),3
Ta2Cd2O7 (111),14.721198943294814,"Cd, O, Ta",Cubic,m-3m,Ta2Cd2O7,(111),3
Ta2Co3Si (0001),4.8055733398926455,"Co, Si, Ta",Hexagonal,6/mmm,Ta2Co3Si,(0001),3
Ta2CrOs (111),8.864263088358637,"Cr, Os, Ta",Cubic,m-3m,Ta2CrOs,(111),3
Ta2CrRu (111),8.831498673398391,"Cr, Ru, Ta",Cubic,m-3m,Ta2CrRu,(111),3
Ta2FeMo (111),8.856113576703073,"Fe, Mo, Ta",Cubic,m-3m,Ta2FeMo,(111),3
Ta2GaC (0001),3.1113494521001708,"C, Ga, Ta",Hexagonal,6/mmm,Ta2GaC,(0001),3
Ta2Mn4O9 (0001),5.294096911844402,"Mn, O, Ta",Trigonal,-3m,Ta2Mn4O9,(0001),3
Ta2MnRe (111),8.852935973115082,"Mn, Re, Ta",Cubic,m-3m,Ta2MnRe,(111),3
Ta2MnV3 (0001),5.022377303736729,"Mn, Ta, V",Trigonal,-3m,Ta2MnV3,(0001),3
Ta2Mo2O11 (0001),5.648506916009504,"Mo, O, Ta",Trigonal,-3m,Ta2Mo2O11,(0001),3
Ta2MoIr (111),9.041114991532522,"Ir, Mo, Ta",Cubic,m-3m,Ta2MoIr,(111),3
Ta2MoOs (111),9.032814236743901,"Mo, Os, Ta",Cubic,m-3m,Ta2MoOs,(111),3
Ta2MoRu (111),9.012080508274492,"Mo, Ru, Ta",Cubic,m-3m,Ta2MoRu,(111),3
Ta2MoW (111),9.121862371587607,"Mo, Ta, W",Cubic,m-3m,Ta2MoW,(111),3
Ta2N (0001),5.296572051428474,"N, Ta",Trigonal,-3m,Ta2N,(0001),2
Ta2NbIr (111),9.122388543885625,"Ir, Nb, Ta",Cubic,m-3m,Ta2NbIr,(111),3
Ta2NbOs (111),9.120885234868823,"Nb, Os, Ta",Cubic,m-3m,Ta2NbOs,(111),3
Ta2NbRe (111),9.161621260553181,"Nb, Re, Ta",Cubic,m-3m,Ta2NbRe,(111),3
Ta2NbRh (111),9.118465854336451,"Nb, Rh, Ta",Cubic,m-3m,Ta2NbRh,(111),3
Ta2NbRu (111),9.10593996736302,"Nb, Ru, Ta",Cubic,m-3m,Ta2NbRu,(111),3
Ta2OsW (111),9.050787080928302,"Os, Ta, W",Cubic,m-3m,Ta2OsW,(111),3
Ta2ReMo (111),9.067389495602225,"Mo, Re, Ta",Cubic,m-3m,Ta2ReMo,(111),3
Ta2ReOs (111),8.998699870085556,"Os, Re, Ta",Cubic,m-3m,Ta2ReOs,(111),3
Ta2ReRu (111),8.980948196964333,"Re, Ru, Ta",Cubic,m-3m,Ta2ReRu,(111),3
Ta2ReTc (111),9.004284033757942,"Re, Ta, Tc",Cubic,m-3m,Ta2ReTc,(111),3
Ta2ReW (111),9.081584437960371,"Re, Ta, W",Cubic,m-3m,Ta2ReW,(111),3
Ta2RuW (111),9.035400380801141,"Ru, Ta, W",Cubic,m-3m,Ta2RuW,(111),3
Ta2TcMo (111),9.04236702308356,"Mo, Ta, Tc",Cubic,m-3m,Ta2TcMo,(111),3
Ta2TcOs (111),8.972646944996805,"Os, Ta, Tc",Cubic,m-3m,Ta2TcOs,(111),3
Ta2V3Ge (0001),4.9688943750563155,"Ge, Ta, V",Hexagonal,6/mmm,Ta2V3Ge,(0001),3
Ta2VOs (111),8.928333156989542,"Os, Ta, V",Cubic,m-3m,Ta2VOs,(111),3
Ta2VRu (111),8.911517427056546,"Ru, Ta, V",Cubic,m-3m,Ta2VRu,(111),3
Ta3(BiS3)2 (0001),5.750189302449142,"Bi, S, Ta",Hexagonal,6/mmm,Ta3(BiS3)2,(0001),3
