name,a,b,elements,crystal_system,point_group,formula,plane,num_elements
KCrF6 (0001),7.299053971325791,12.642332325523657,"Cr, F, K",Trigonal,-3,KCrF6,(0001),3
KCrF6 (1-100),7.1039818978976825,7.299053971325791,"Cr, F, K",Trigonal,-3,KCrF6,(1-100),3
KCrF6 (11-20),7.1039818978976825,12.642332325523657,"Cr, F, K",Trigonal,-3,KCrF6,(11-20),3
KCrN2 (001),5.724646,11.484914999999999,"Cr, K, N",Orthorhombic,mmm,KCrN2,(001),3
KCrN2 (010),5.724646,15.687762,"Cr, K, N",Orthorhombic,mmm,KCrN2,(010),3
KCrN2 (100),11.484914999999999,15.687762,"Cr, K, N",Orthorhombic,mmm,KCrN2,(100),3
KCrN2 (110),12.832569671836618,15.687762,"Cr, K, N",Orthorhombic,mmm,KCrN2,(110),3
KCrO2 (0001),3.0601544396622082,5.300342968502413,"Cr, K, O",Hexagonal,6/mmm,KCrO2,(0001),3
KCrO2 (1-100),3.0601544396622082,11.86256845,"Cr, K, O",Hexagonal,6/mmm,KCrO2,(1-100),3
KCrO2 (1-102),3.0601544396622082,12.992850565395122,"Cr, K, O",Hexagonal,6/mmm,KCrO2,(1-102),3
KCrO2 (11-20),5.300342968502413,11.86256845,"Cr, K, O",Hexagonal,6/mmm,KCrO2,(11-20),3
KCrS2 (0001),3.6502725103500566,6.322457449398288,"Cr, K, S",Trigonal,-3m,KCrS2,(0001),3
KCu4S3 (001),3.84296955,3.84296955,"Cu, K, S",Tetragonal,4/mmm,KCu4S3,(001),3
KCu4S3 (100),3.84296955,9.35331158,"Cu, K, S",Tetragonal,4/mmm,KCu4S3,(100),3
KCu4S3 (101),3.84296955,10.112015252895404,"Cu, K, S",Tetragonal,4/mmm,KCu4S3,(101),3
KCu4S3 (110),5.43477965739683,9.35331158,"Cu, K, S",Tetragonal,4/mmm,KCu4S3,(110),3
KCuCl3 (001),4.059829343462111,13.76344897,"Cl, Cu, K",Monoclinic,2/m,KCuCl3,(001),3
KCuCl3 (100),8.71618051100214,13.76344897,"Cl, Cu, K",Monoclinic,2/m,KCuCl3,(100),3
KCuF3 (001),5.801866900549212,5.801866900549212,"Cu, F, K",Tetragonal,4/mmm,KCuF3,(001),3
KCuF3 (100),5.801866900549212,7.857671837200684,"Cu, F, K",Tetragonal,4/mmm,KCuF3,(100),3
KCuF3 (101),5.801866900549212,9.767531225075519,"Cu, F, K",Tetragonal,4/mmm,KCuF3,(101),3
KCuF3 (110),7.857671837200684,8.205078857840249,"Cu, F, K",Tetragonal,4/mmm,KCuF3,(110),3
KCuO (001),9.24823882152112,9.24823882152112,"Cu, K, O",Tetragonal,4/mmm,KCuO,(001),3
