name,a,elements,crystal_system,point_group,formula,plane,num_elements
LuHfRu2 (111),9.214821231195348,"Hf, Lu, Ru",Cubic,m-3m,LuHfRu2,(111),3
LuHg (111),5.105353089588896,"Hg, Lu",Cubic,m-3m,LuHg,(111),2
LuI3 (0001),3.915346400253389,"I, Lu",Hexagonal,6/mmm,LuI3,(0001),2
LuIn3 (111),6.468496741503201,"In, Lu",Cubic,m-3m,LuIn3,(111),2
LuInAg2 (111),9.696879041609744,"Ag, In, Lu",Cubic,m-3m,LuInAg2,(111),3
LuInAu (0001),3.94763836,"Au, In, Lu",Hexagonal,-6m2,LuInAu,(0001),3
LuInCu2 (111),9.168549025150739,"Cu, In, Lu",Cubic,m-3m,LuInCu2,(111),3
LuInNi (0001),3.65197856,"In, Lu, Ni",Hexagonal,-6m2,LuInNi,(0001),3
LuInNi4 (111),9.782133145131024,"In, Lu, Ni",Cubic,-43m,LuInNi4,(111),3
LuInPd (0001),3.70943057,"In, Lu, Pd",Hexagonal,-6m2,LuInPd,(0001),3
LuInPd2 (111),9.414047464941655,"In, Lu, Pd",Cubic,m-3m,LuInPd2,(111),3
LuInPt (0001),3.76768429,"In, Lu, Pt",Hexagonal,-6m2,LuInPt,(0001),3
LuInRh2 (111),9.206319361096698,"In, Lu, Rh",Cubic,m-3m,LuInRh2,(111),3
LuIr (111),4.707154362760795,"Ir, Lu",Cubic,m-3m,LuIr,(111),2
LuIr2 (111),10.554199166766812,"Ir, Lu",Cubic,m-3m,LuIr2,(111),2
LuMg (111),5.254524421000824,"Lu, Mg",Cubic,m-3m,LuMg,(111),2
LuMgAg2 (111),9.67578329332272,"Ag, Lu, Mg",Cubic,m-3m,LuMgAg2,(111),3
LuMgAu2 (111),9.589913207480647,"Au, Lu, Mg",Cubic,m-3m,LuMgAu2,(111),3
LuMgCd2 (111),9.992189140293343,"Cd, Lu, Mg",Cubic,m-3m,LuMgCd2,(111),3
LuMgHg2 (111),9.933082678423654,"Hg, Lu, Mg",Cubic,m-3m,LuMgHg2,(111),3
LuMgIn (0001),4.59969814,"In, Lu, Mg",Hexagonal,-6m2,LuMgIn,(0001),3
LuMgPd2 (111),9.344893391696692,"Lu, Mg, Pd",Cubic,m-3m,LuMgPd2,(111),3
LuMgRh2 (111),9.08837697314619,"Lu, Mg, Rh",Cubic,m-3m,LuMgRh2,(111),3
LuMgTl (0001),4.55741692,"Lu, Mg, Tl",Hexagonal,-6m2,LuMgTl,(0001),3
LuMgZn2 (111),9.433618472960122,"Lu, Mg, Zn",Cubic,m-3m,LuMgZn2,(111),3
LuMnO3 (0001),11.312372590212647,"Lu, Mn, O",Hexagonal,6mm,LuMnO3,(0001),3
LuN (111),6.680677470415838,"Lu, N",Cubic,m-3m,LuN,(111),2
LuNbRu2 (111),9.131718591589209,"Lu, Nb, Ru",Cubic,m-3m,LuNbRu2,(111),3
LuNi2 (111),9.879880725150624,"Lu, Ni",Cubic,m-3m,LuNi2,(111),2
LuNi4Au (111),9.782904342102503,"Au, Lu, Ni",Cubic,-43m,LuNi4Au,(111),3
LuNi4B (0001),6.9357050000000005,"B, Lu, Ni",Hexagonal,6/mmm,LuNi4B,(0001),3
LuNi5 (0001),3.90311511,"Lu, Ni",Hexagonal,6/mmm,LuNi5,(0001),2
LuNiBi (111),8.974430180482951,"Bi, Lu, Ni",Cubic,-43m,LuNiBi,(111),3
LuNiP (0001),14.91017335,"Lu, Ni, P",Hexagonal,6/mmm,LuNiP,(0001),3
LuNiPb (0001),3.78321071,"Lu, Ni, Pb",Hexagonal,-6m2,LuNiPb,(0001),3
LuNiSb (111),8.78755421309286,"Lu, Ni, Sb",Cubic,-43m,LuNiSb,(111),3
LuOs2 (0001),8.7612803,"Lu, Os",Hexagonal,6/mmm,LuOs2,(0001),2
LuP (111),7.81171262083423,"Lu, P",Cubic,m-3m,LuP,(111),2
LuPPt (0001),3.768202269999999,"Lu, P, Pt",Hexagonal,-6m2,LuPPt,(0001),3
LuPaRu2 (111),9.553799934804703,"Lu, Pa, Ru",Cubic,m-3m,LuPaRu2,(111),3
LuPaTc2 (111),9.555751662657864,"Lu, Pa, Tc",Cubic,m-3m,LuPaTc2,(111),3
LuPd (111),4.821941057160473,"Lu, Pd",Cubic,m-3m,LuPd,(111),2
LuPd3 (111),5.71841720031991,"Lu, Pd",Cubic,m-3m,LuPd3,(111),2
LuPt3 (111),5.721604451137793,"Lu, Pt",Cubic,m-3m,LuPt3,(111),2
LuRe2 (0001),8.720743,"Lu, Re",Hexagonal,6/mmm,LuRe2,(0001),2
LuRh (111),4.702453290605297,"Lu, Rh",Cubic,m-3m,LuRh,(111),2
LuRh2 (111),10.482651233930568,"Lu, Rh",Cubic,m-3m,LuRh2,(111),2
LuRh2Pb (111),9.354598479313584,"Lu, Pb, Rh",Cubic,m-3m,LuRh2Pb,(111),3
LuRh3 (111),5.608842144257605,"Lu, Rh",Cubic,m-3m,LuRh3,(111),2
LuRh3C (111),5.820232515793467,"C, Lu, Rh",Cubic,m-3m,LuRh3C,(111),3
LuRu (111),4.675373066642705,"Lu, Ru",Cubic,m-3m,LuRu,(111),2
LuRu2 (0001),8.80029776,"Lu, Ru",Hexagonal,6/mmm,LuRu2,(0001),2
LuRu3C (111),5.801746151808387,"C, Lu, Ru",Cubic,m-3m,LuRu3C,(111),3
LuS (111),7.569478926708338,"Lu, S",Cubic,m-3m,LuS,(111),2
LuSb (111),8.59652581403508,"Lu, Sb",Cubic,m-3m,LuSb,(111),2
LuSbPt (111),9.1687403595751,"Lu, Pt, Sb",Cubic,-43m,LuSbPt,(111),3
LuSbRh2 (111),9.236907834072175,"Lu, Rh, Sb",Cubic,m-3m,LuSbRh2,(111),3
LuScCu2 (111),9.335801148622318,"Cu, Lu, Sc",Cubic,m-3m,LuScCu2,(111),3
LuSe (111),7.911872926881152,"Lu, Se",Cubic,m-3m,LuSe,(111),2
LuSiAg (0001),4.11616748,"Ag, Lu, Si",Hexagonal,-6m2,LuSiAg,(0001),3
LuSiAu (0001),7.16813649,"Au, Lu, Si",Hexagonal,-6m2,LuSiAu,(0001),3
LuSnAu (111),9.319126511031463,"Au, Lu, Sn",Cubic,-43m,LuSnAu,(111),3
LuSnIr (0001),3.74972253,"Ir, Lu, Sn",Hexagonal,-6m2,LuSnIr,(0001),3
LuSnPd (0001),3.82858584,"Lu, Pd, Sn",Hexagonal,-6m2,LuSnPd,(0001),3
LuSnPd2 (111),9.423853137853762,"Lu, Pd, Sn",Cubic,m-3m,LuSnPd2,(111),3
LuSnPt (0001),3.9406825100000002,"Lu, Pt, Sn",Hexagonal,-6m2,LuSnPt,(0001),3
LuSnRh (0001),3.68253073,"Lu, Rh, Sn",Hexagonal,-6m2,LuSnRh,(0001),3
LuSnRh2 (111),9.228961669762802,"Lu, Rh, Sn",Cubic,m-3m,LuSnRh2,(111),3
LuSnRu2 (111),9.181278880926826,"Lu, Ru, Sn",Cubic,m-3m,LuSnRu2,(111),3
LuTaOs2 (111),9.141158599611497,"Lu, Os, Ta",Cubic,m-3m,LuTaOs2,(111),3
LuTaRu2 (111),9.107102592332646,"Lu, Ru, Ta",Cubic,m-3m,LuTaRu2,(111),3
LuTc2 (0001),8.722319324004388,"Lu, Tc",Hexagonal,6/mmm,LuTc2,(0001),2
LuTe (0001),3.968295860005666,"Lu, Te",Hexagonal,-6m2,LuTe,(0001),2
LuThRu2 (111),9.709685980495049,"Lu, Ru, Th",Cubic,m-3m,LuThRu2,(111),3
LuTl3 (111),6.629811712643193,"Lu, Tl",Cubic,m-3m,LuTl3,(111),2
LuTlRh2 (111),9.278183684468123,"Lu, Rh, Tl",Cubic,m-3m,LuTlRh2,(111),3
LuZn (111),4.88722278154521,"Lu, Zn",Cubic,m-3m,LuZn,(111),2
LuZnPd (0001),3.80689338,"Lu, Pd, Zn",Hexagonal,-6m2,LuZnPd,(0001),3
LuZnPd2 (111),9.134016999755051,"Lu, Pd, Zn",Cubic,m-3m,LuZnPd2,(111),3
LuZnRh2 (111),8.927790636382744,"Lu, Rh, Zn",Cubic,m-3m,LuZnRh2,(111),3
LuZnSn (0001),15.75205196,"Lu, Sn, Zn",Hexagonal,6/mmm,LuZnSn,(0001),3
LuZr3 (0001),5.17676627,"Lu, Zr",Hexagonal,6/mmm,LuZr3,(0001),2
LuZrCo2 (111),9.144996190669124,"Co, Lu, Zr",Cubic,m-3m,LuZrCo2,(111),3
LuZrRu2 (111),9.273104168223394,"Lu, Ru, Zr",Cubic,m-3m,LuZrRu2,(111),3
Mg (0001),5.1412049,Mg,Hexagonal,6/mmm,Mg,(0001),1
Mg(Co3P2)2 (0001),3.35038078,"Co, Mg, P",Hexagonal,-6m2,Mg(Co3P2)2,(0001),3
Mg(CoO2)2 (111),11.432398210684553,"Co, Mg, O",Cubic,m-3m,Mg(CoO2)2,(111),3
Mg(CrS2)2 (111),14.393698930339973,"Cr, Mg, S",Cubic,m-3m,Mg(CrS2)2,(111),3
Mg(FeGe)6 (0001),8.18325318000008,"Fe, Ge, Mg",Hexagonal,6/mmm,Mg(FeGe)6,(0001),3
Mg(FeO2)2 (111),8.412651721706354,"Fe, Mg, O",Cubic,m-3m,Mg(FeO2)2,(111),3
Mg(InS2)2 (111),15.28093412124891,"In, Mg, S",Cubic,m-3m,Mg(InS2)2,(111),3
